R1_PINH1,158.75,6.35,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,123.19,46.99,270.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,71.12,10.16,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,90.17,62.23,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,92.71,57.15,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,154.83,46.75,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,154.94,44.45,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,116.84,41.91,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,67.31,5.08,270.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,64.77,7.62,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,30.48,25.40,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,33.02,25.40,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,69.85,26.67,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,10.16,99.06,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,27.94,25.40,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.75,108.25,180.00,RESET_BUTTON,MYBUTTON
R_BOOT,67.31,107.95,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,92.71,52.07,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,20.32,107.95,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,73.66,26.67,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,44.45,107.95,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,161.30,11.43,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,64.77,5.08,0.00,,SJ
TP1,11.43,74.93,0.00,TPTP20R,TP20R
TP10,63.50,27.94,0.00,TPTP20R,TP20R
TP11,12.70,35.56,0.00,TPTP20R,TP20R
TP12,16.51,69.85,0.00,TPTP20R,TP20R
TP13,20.32,69.85,0.00,TPTP20R,TP20R
TP14,120.34,46.99,0.00,TPTP20R,TP20R
TP15,16.51,27.94,0.00,TPTP20R,TP20R
TP16,110.49,46.99,0.00,TPTP20R,TP20R
TP17,64.77,39.37,0.00,TPTP20R,TP20R
TP2,12.73,71.95,0.00,TPTP20R,TP20R
TP3,130.81,49.53,0.00,TPTP20R,TP20R
TP4,163.83,1.28,0.00,TPTP20R,TP20R
